tt,recId,year,month,day,angle
762828,110,-2624,7,6,5
762829,110,-2624,7,7,4
762830,110,-2624,7,8,3
762831,110,-2624,7,9,2
762832,110,-2624,7,10,1
762833,110,-2624,7,11,0
762834,110,-2624,7,12,0
762835,110,-2624,7,13,0
762836,110,-2624,7,14,1
762837,110,-2624,7,15,2
924272,110,-2182,7,10,5
924273,110,-2182,7,11,4
924274,110,-2182,7,12,3
924275,110,-2182,7,13,2
924276,110,-2182,7,14,1
924277,110,-2182,7,15,0
924278,110,-2182,7,16,0
762828,74,-2624,7,6,4
762829,74,-2624,7,7,4
762830,74,-2624,7,8,4
762831,74,-2624,7,9,5
762832,74,-2624,7,10,5
762833,74,-2624,7,11,5
762834,74,-2624,7,12,5
762835,74,-2624,7,13,5
762836,74,-2624,7,14,5
762837,74,-2624,7,15,5
924272,74,-2182,7,10,5
924273,74,-2182,7,11,5
924274,74,-2182,7,12,5
924275,74,-2182,7,13,5
924276,74,-2182,7,14,5
924277,74,-2182,7,15,5
924278,74,-2182,7,16,5
762828,517,-2624,7,6,3
762829,517,-2624,7,7,3
762830,517,-2624,7,8,3
762831,517,-2624,7,9,3
762832,517,-2624,7,10,3
762833,517,-2624,7,11,4
762834,517,-2624,7,12,4
762835,517,-2624,7,13,4
762836,517,-2624,7,14,5
762837,517,-2624,7,15,5
924272,517,-2182,7,10,3
924273,517,-2182,7,11,3
924274,517,-2182,7,12,4
924275,517,-2182,7,13,4
924276,517,-2182,7,14,4
924277,517,-2182,7,15,5
924278,517,-2182,7,16,5
